"Location Properties"
"Location Name = 3ft (630411)"
"Location ID = 4826803309903872"
"Latitude = 44.63101004858643 °"
"Longitude = -124.04601168454957 °"
""
""
"Date Time","Resistivity (Ω-cm)","Temperature (C)","Density (g/cm³)","Total Dissolved Solids (mg/L)","Salinity (psu)","Actual Conductivity (µS/cm)","Specific Conductivity (µS/cm)"
"2019-01-03 11:05:00.000","94659.408","21.558","0.998","7.0","0.004","10.564","11.308"
"2019-01-03 11:10:00.000","94537.552","21.566","0.998","7.0","0.004","10.578","11.32"
"2019-01-03 11:15:00.000","94593.544","21.584","0.998","7.0","0.004","10.572","11.309"
"2019-01-03 11:20:00.000","94339.008","21.605","0.998","7.0","0.004","10.6","11.335"
"2019-01-03 11:25:00.000","94354.08","21.619","0.998","7.0","0.004","10.598","11.33"
"2019-01-03 11:30:00.000","94551.064","21.637","0.998","7.0","0.004","10.576","11.302"
"2019-01-03 11:35:00.000","94285.96","21.65","0.998","7.0","0.004","10.606","11.331"
"2019-01-03 11:40:00.000","94248.24","21.661","0.998","7.0","0.004","10.61","11.333"
"2019-01-03 11:45:00.000","94191.032","21.673","0.998","7.0","0.004","10.617","11.337"
"2019-01-03 12:00:00.000","94252.072","21.707","0.998","7.0","0.004","10.61","11.322"
"2019-01-03 12:15:00.000","94202.272","21.771","0.998","7.0","0.004","10.615","11.313"
"2019-01-03 12:30:00.000","94594.208","21.723","0.998","7.0","0.004","10.571","11.277"
"2019-01-03 12:45:00.000","94888.96","21.649","0.998","7.0","0.004","10.539","11.259"
"2019-01-03 13:00:00.000","94939.544","21.598","0.998","7.0","0.004","10.533","11.265"
"2019-01-03 13:15:00.000","95409.248","21.566","0.998","7.0","0.004","10.481","11.217"
"2019-01-03 13:30:00.000","95316.104","21.537","0.998","7.0","0.004","10.491","11.235"
"2019-01-03 13:45:00.000","95105.56","21.524","0.998","7.0","0.004","10.515","11.262"
"2019-01-03 23:30:00.000","1410065.408","22.663","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 04:30:00.000","1410065.408","21.992","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 05:00:00.000","1410065.408","21.778","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 05:30:00.000","1410065.408","21.804","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 06:00:00.000","1410065.408","21.823","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 06:30:00.000","1410065.408","21.836","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 07:00:00.000","1410065.408","21.816","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 07:30:00.000","1410065.408","21.811","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 08:00:00.000","1410065.408","21.766","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 08:30:00.000","1410065.408","21.753","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 09:00:00.000","1410065.408","21.728","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 09:30:00.000","1410065.408","21.716","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 09:40:00.000","1410065.408","21.718","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 09:50:00.000","1410065.408","21.728","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 10:00:00.000","1410065.408","21.748","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 10:10:00.000","1410065.408","21.767","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 10:20:00.000","1410065.408","21.786","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 10:30:00.000","1410065.408","21.809","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 11:10:00.000","1410065.408","21.895","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 11:20:00.000","1410065.408","21.917","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 11:30:00.000","1410065.408","21.938","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 11:40:00.000","1410065.408","21.957","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 11:50:00.000","1410065.408","21.984","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 12:00:00.000","1410065.408","22.005","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 12:10:00.000","1410065.408","22.023","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 12:20:00.000","1410065.408","22.051","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 12:30:00.000","1410065.408","22.074","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 12:40:00.000","1410065.408","22.096","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 12:50:00.000","1410065.408","22.127","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 13:00:00.000","1410065.408","22.149","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 13:10:00.000","1410065.408","22.097","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 13:40:00.000","1410065.408","21.888","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 13:50:00.000","1410065.408","21.883","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 14:00:00.000","1410065.408","21.897","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 14:10:00.000","1410065.408","21.919","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 14:20:00.000","1410065.408","21.945","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 14:30:00.000","1410065.408","21.872","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 14:40:00.000","1410065.408","21.759","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 14:50:00.000","1410065.408","21.724","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 15:00:00.000","1410065.408","21.708","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 15:10:00.000","1410065.408","21.706","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 16:10:00.000","1410065.408","21.869","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 17:10:00.000","1410065.408","22.018","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 18:10:00.000","1410065.408","22.048","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 19:10:00.000","1410065.408","22.074","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 20:10:00.000","1410065.408","22.063","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 21:10:00.000","1410065.408","22.011","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 22:10:00.000","1410065.408","21.982","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 23:10:00.000","1410065.408","21.908","0.998","0.0","0.0","0.0","0.0"
"2019-01-05 00:10:00.000","1410065.408","21.839","0.998","0.0","0.0","0.0","0.0"
"2019-01-05 04:10:00.000","1410065.408","21.8","0.998","0.0","0.0","0.0","0.0"
"2019-01-05 05:10:00.000","1410065.408","21.793","0.998","0.0","0.0","0.0","0.0"
