"Location Properties"
"Location Name = 7ft (630415)"
"Location ID = 4767767642243072"
"Latitude = 44.63101004858643 °"
"Longitude = -124.04601168454957 °"
""
""
"Date Time","Resistivity (Ω-cm)","Temperature (C)","Density (g/cm³)","Total Dissolved Solids (mg/L)","Salinity (psu)","Actual Conductivity (µS/cm)","Specific Conductivity (µS/cm)"
"2019-01-03 11:05:00.000","97140.232","21.568","0.998","7.0","0.004","10.294","11.017"
"2019-01-03 11:10:00.000","97200.408","21.574","0.998","7.0","0.004","10.288","11.008"
"2019-01-03 11:15:00.000","96781.312","21.592","0.998","7.0","0.004","10.333","11.052"
"2019-01-03 11:20:00.000","96918.84","21.612","0.998","7.0","0.004","10.318","11.032"
"2019-01-03 11:25:00.000","96717.28","21.627","0.998","7.0","0.004","10.339","11.051"
"2019-01-03 11:30:00.000","96701.072","21.643","0.998","7.0","0.004","10.341","11.05"
"2019-01-03 11:35:00.000","96791.608","21.655","0.998","7.0","0.004","10.331","11.036"
"2019-01-03 11:40:00.000","96627.52","21.666","0.998","7.0","0.004","10.349","11.053"
"2019-01-03 11:45:00.000","96529.064","21.678","0.998","7.0","0.004","10.36","11.061"
"2019-01-03 12:00:00.000","96380.584","21.711","0.998","7.0","0.004","10.376","11.071"
"2019-01-03 12:15:00.000","96781.128","21.776","0.998","7.0","0.004","10.333","11.011"
"2019-01-03 12:30:00.000","97350.008","21.72","0.998","7.0","0.004","10.272","10.959"
"2019-01-03 12:45:00.000","98182.52","21.641","0.998","7.0","0.004","10.185","10.883"
"2019-01-03 13:00:00.000","98048.392","21.586","0.998","7.0","0.004","10.199","10.911"
"2019-01-03 13:15:00.000","98425.344","21.55","0.998","7.0","0.004","10.16","10.877"
"2019-01-03 13:30:00.000","98779.88","21.517","0.998","7.0","0.004","10.124","10.845"
"2019-01-03 13:45:00.000","98597.184","21.504","0.998","7.0","0.004","10.142","10.868"
"2019-01-03 23:30:00.000","1410065.408","22.552","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 04:30:00.000","7264.022","19.852","0.998","99.0","0.072","137.665","152.677"
"2019-01-04 05:00:00.000","6927.194","21.847","0.998","100.0","0.073","144.359","153.611"
"2019-01-04 05:30:00.000","6923.413","21.872","0.998","100.0","0.073","144.437","153.614"
"2019-01-04 06:00:00.000","6919.769","21.889","0.998","100.0","0.073","144.514","153.643"
"2019-01-04 06:30:00.000","6917.007","21.897","0.998","100.0","0.073","144.571","153.68"
"2019-01-04 07:00:00.000","6919.647","21.871","0.998","100.0","0.073","144.516","153.701"
"2019-01-04 07:30:00.000","6922.972","21.855","0.998","100.0","0.073","144.447","153.678"
"2019-01-04 08:00:00.000","6929.131","21.792","0.998","100.0","0.073","144.318","153.738"
"2019-01-04 08:30:00.000","6933.825","21.771","0.998","100.0","0.073","144.221","153.7"
"2019-01-04 09:00:00.000","6936.763","21.739","0.998","100.0","0.073","144.159","153.735"
"2019-01-04 09:30:00.000","6936.112","21.725","0.998","100.0","0.073","144.173","153.793"
"2019-01-04 09:40:00.000","6936.692","21.73","0.998","100.0","0.073","144.161","153.765"
"2019-01-04 09:50:00.000","6936.228","21.745","0.998","100.0","0.073","144.171","153.727"
"2019-01-04 10:00:00.000","6932.028","21.771","0.998","100.0","0.073","144.258","153.739"
"2019-01-04 10:10:00.000","6927.87","21.794","0.998","100.0","0.073","144.345","153.759"
"2019-01-04 10:20:00.000","6924.87","21.818","0.998","100.0","0.073","144.407","153.752"
"2019-01-04 10:30:00.000","6921.135","21.843","0.998","100.0","0.073","144.485","153.756"
"2019-01-04 11:10:00.000","6906.081","21.933","0.998","100.0","0.073","144.8","153.809"
"2019-01-04 11:20:00.000","6901.934","21.957","0.998","100.0","0.073","144.887","153.827"
"2019-01-04 11:30:00.000","6900.474","21.979","0.998","100.0","0.073","144.918","153.791"
"2019-01-04 11:40:00.000","6893.49","21.999","0.998","100.0","0.073","145.064","153.884"
"2019-01-04 11:50:00.000","6892.43","22.03","0.998","100.0","0.073","145.087","153.812"
"2019-01-04 12:00:00.000","6887.324","22.051","0.998","100.0","0.073","145.194","153.86"
"2019-01-04 12:10:00.000","6884.824","22.071","0.998","100.0","0.073","145.247","153.855"
"2019-01-04 12:20:00.000","6879.732","22.102","0.998","100.0","0.073","145.355","153.872"
"2019-01-04 12:30:00.000","6876.404","22.126","0.998","100.0","0.073","145.425","153.873"
"2019-01-04 12:40:00.000","6871.98","22.15","0.998","100.0","0.073","145.518","153.895"
"2019-01-04 12:50:00.000","6868.868","22.186","0.998","100.0","0.073","145.584","153.855"
"2019-01-04 13:00:00.000","6866.341","22.206","0.998","100.0","0.073","145.638","153.848"
"2019-01-04 13:10:00.000","6899.326","21.998","0.998","100.0","0.073","144.942","153.758"
"2019-01-04 13:40:00.000","6954.107","21.621","0.998","100.0","0.073","143.8","153.719"
"2019-01-04 13:50:00.000","6951.647","21.662","0.998","100.0","0.073","143.851","153.645"
"2019-01-04 14:00:00.000","6941.672","21.719","0.998","100.0","0.073","144.058","153.687"
"2019-01-04 14:10:00.000","6931.896","21.783","0.998","100.0","0.073","144.261","153.706"
"2019-01-04 14:20:00.000","6922.253","21.846","0.998","100.0","0.073","144.462","153.722"
"2019-01-04 14:30:00.000","6975.11","21.529","0.998","100.0","0.073","143.367","153.547"
"2019-01-04 14:40:00.000","7027.785","21.184","0.998","100.0","0.073","142.292","153.48"
"2019-01-04 14:50:00.000","7032.293","21.147","0.998","100.0","0.073","142.171","153.466"
"2019-01-04 15:00:00.000","7024.663","21.203","0.998","100.0","0.073","142.356","153.487"
"2019-01-04 15:10:00.000","7010.554","21.295","0.998","100.0","0.073","142.642","153.506"
"2019-01-04 16:10:00.000","6932.054","21.796","0.998","100.0","0.073","144.257","153.66"
"2019-01-04 17:10:00.000","6896.484","22.023","0.998","100.0","0.073","145.001","153.744"
"2019-01-04 18:10:00.000","6887.09","22.06","0.998","100.0","0.073","145.199","153.839"
"2019-01-04 19:10:00.000","6880.633","22.086","0.998","100.0","0.073","145.335","153.901"
"2019-01-04 20:10:00.000","6883.677","22.068","0.998","100.0","0.073","145.271","153.89"
