"Location Properties"
"Location Name = 11ft (630427)"
"Location ID = 6147104710852608"
"Latitude = 44.63101004858643 °"
"Longitude = -124.04601168454957 °"
""
""
"Date Time","Resistivity (Ω-cm)","Temperature (C)","Density (g/cm³)","Total Dissolved Solids (mg/L)","Salinity (psu)","Actual Conductivity (µS/cm)","Specific Conductivity (µS/cm)"
"2019-01-04 21:10:00.000","83.837","22.029","1.003","8220.0","7.35","11927.942","12645.595"
"2019-01-04 22:10:00.000","83.842","22.002","1.003","8224.0","7.354","11927.236","12651.735"
"2019-01-04 23:10:00.000","83.959","21.924","1.003","8225.0","7.355","11910.512","12653.837"
"2019-01-05 00:10:00.000","84.054","21.856","1.003","8227.0","7.357","11897.172","12657.18"
"2019-01-05 04:10:00.000","84.045","21.822","1.003","8234.0","7.363","11898.414","12667.376"
"2019-01-05 05:10:00.000","84.039","21.816","1.003","8235.0","7.365","11899.289","12669.887"
"2019-01-05 06:10:00.000","84.118","21.75","1.003","8239.0","7.367","11888.065","12674.787"
"2019-01-05 07:10:00.000","83.717","22.022","1.003","8233.0","7.363","11945.006","12665.529"
"2019-01-05 08:10:00.000","83.597","22.041","1.003","8241.0","7.371","11962.119","12678.567"
"2019-01-05 09:10:00.000","83.742","21.937","1.003","8244.0","7.374","11941.382","12683.436"
"2019-01-05 10:10:00.000","83.745","21.912","1.003","8248.0","7.377","11941.046","12689.59"
"2019-01-05 11:10:00.000","85.026","21.168","1.004","8248.0","7.374","11761.102","12689.869"
"2019-01-05 12:10:00.000","85.121","21.121","1.004","8247.0","7.373","11748.045","12688.097"
"2019-01-05 13:10:00.000","84.704","21.383","1.003","8243.0","7.37","11805.809","12682.025"
"2019-01-05 14:10:00.000","84.452","21.487","1.003","8250.0","7.377","11841.025","12692.802"
"2019-01-05 15:10:00.000","84.265","21.566","1.003","8255.0","7.383","11867.275","12700.362"
"2019-01-05 16:10:00.000","84.25","21.54","1.003","8261.0","7.388","11869.462","12709.314"
"2019-01-05 16:25:00.000","84.237","21.565","1.003","8258.0","7.385","11871.299","12704.916"
"2019-01-05 16:40:00.000","84.01","21.706","1.003","8257.0","7.385","11903.33","12702.536"
"2019-01-05 16:55:00.000","83.804","21.821","1.003","8258.0","7.386","11932.599","12704.021"
"2019-01-05 17:10:00.000","83.772","21.823","1.003","8260.0","7.389","11937.149","12708.297"
"2019-01-05 17:25:00.000","83.786","21.805","1.003","8262.0","7.39","11935.174","12710.945"
"2019-01-05 17:40:00.000","83.82","21.778","1.003","8263.0","7.391","11930.352","12712.649"
"2019-01-05 17:55:00.000","83.811","21.771","1.003","8265.0","7.393","11931.599","12715.742"
"2019-01-05 18:10:00.000","83.839","21.756","1.003","8265.0","7.393","11927.605","12715.446"
"2019-01-05 18:25:00.000","83.869","21.742","1.003","8264.0","7.392","11923.416","12714.606"
"2019-01-05 18:40:00.000","83.871","21.734","1.003","8266.0","7.393","11923.075","12716.284"
"2019-01-05 18:55:00.000","83.863","21.733","1.003","8267.0","7.394","11924.24","12717.912"
"2019-01-05 19:10:00.000","83.872","21.724","1.003","8267.0","7.395","11922.976","12718.761"
"2019-01-05 19:25:00.000","83.896","21.712","1.003","8267.0","7.394","11919.494","12718.155"
"2019-01-05 19:40:00.000","83.905","21.707","1.003","8267.0","7.394","11918.177","12718.156"
"2019-01-05 19:55:00.000","83.91","21.702","1.003","8267.0","7.395","11917.5","12718.635"
"2019-01-05 20:10:00.000","83.894","21.702","1.003","8269.0","7.396","11919.766","12721.145"
"2019-01-05 20:25:00.000","83.879","21.71","1.003","8269.0","7.397","11922.005","12721.4"
"2019-01-05 20:40:00.000","83.867","21.711","1.003","8270.0","7.397","11923.586","12722.725"
"2019-01-05 20:55:00.000","83.907","21.699","1.003","8268.0","7.395","11917.909","12719.795"
"2019-01-05 21:10:00.000","84.072","21.588","1.003","8270.0","7.397","11894.566","12723.652"
"2019-01-05 21:25:00.000","83.925","21.695","1.003","8267.0","7.395","11915.382","12718.347"
"2019-01-05 21:40:00.000","83.751","21.819","1.003","8263.0","7.391","11940.115","12712.386"
"2019-01-05 21:55:00.000","83.858","21.706","1.003","8272.0","7.399","11924.981","12725.712"
"2019-01-05 22:10:00.000","84.0","21.618","1.003","8272.0","7.399","11904.694","12726.751"
"2019-01-05 22:25:00.000","83.91","21.693","1.003","8269.0","7.396","11917.552","12721.117"
"2019-01-05 22:40:00.000","83.751","21.796","1.003","8267.0","7.395","11940.175","12718.629"
"2019-01-05 22:55:00.000","83.619","21.872","1.003","8267.0","7.396","11958.949","12718.919"
"2019-01-05 23:10:00.000","83.612","21.859","1.003","8270.0","7.398","11959.954","12723.315"
"2019-01-05 23:25:00.000","83.633","21.832","1.003","8273.0","7.401","11957.032","12727.156"
"2019-01-05 23:40:00.000","83.665","21.816","1.003","8272.0","7.4","11952.445","12726.396"
"2019-01-05 23:55:00.000","83.684","21.792","1.003","8274.0","7.402","11949.68","12729.68"
"2019-01-06 00:10:00.000","83.738","21.745","1.003","8277.0","7.404","11941.975","12733.581"
"2019-01-06 00:25:00.000","83.771","21.731","1.003","8276.0","7.404","11937.355","12732.396"
"2019-01-06 00:40:00.000","83.826","21.707","1.003","8275.0","7.402","11929.517","12730.302"
"2019-01-06 00:55:00.000","83.884","21.662","1.003","8276.0","7.404","11921.165","12732.924"
"2019-01-06 01:10:00.000","83.914","21.642","1.003","8277.0","7.404","11916.911","12733.63"
"2019-01-06 01:25:00.000","83.936","21.629","1.003","8277.0","7.404","11913.786","12733.721"
"2019-01-06 01:40:00.000","84.007","21.604","1.003","8274.0","7.401","11903.719","12729.281"
"2019-01-06 01:55:00.000","84.045","21.569","1.003","8276.0","7.403","11898.416","12732.936"
"2019-01-06 02:10:00.000","83.827","21.702","1.003","8275.0","7.403","11929.262","12731.097"
"2019-01-06 02:25:00.000","83.65","21.833","1.003","8271.0","7.399","11954.637","12724.29"
"2019-01-06 02:40:00.000","83.593","21.845","1.003","8274.0","7.402","11962.762","12729.946"
"2019-01-06 02:55:00.000","83.6","21.822","1.003","8278.0","7.405","11961.697","12734.75"
"2019-01-06 03:10:00.000","83.65","21.789","1.003","8278.0","7.406","11954.564","12735.562"
"2019-01-06 03:25:00.000","83.673","21.765","1.003","8280.0","7.407","11951.291","12738.475"
"2019-01-06 03:40:00.000","83.71","21.742","1.003","8280.0","7.408","11946.012","12738.746"
"2019-01-06 03:55:00.000","83.749","21.712","1.003","8281.0","7.409","11940.507","12740.531"
"2019-01-06 04:10:00.000","83.766","21.711","1.003","8280.0","7.407","11938.021","12738.129"
"2019-01-06 04:25:00.000","83.772","21.704","1.003","8280.0","7.408","11937.125","12739.079"
"2019-01-06 04:40:00.000","83.813","21.691","1.003","8279.0","7.406","11931.356","12736.419"
"2019-01-06 04:55:00.000","83.814","21.663","1.003","8283.0","7.41","11931.236","12743.409"
"2019-01-06 05:10:00.000","83.861","21.645","1.003","8282.0","7.409","11924.496","12741.027"
"2019-01-06 05:25:00.000","83.874","21.63","1.003","8283.0","7.41","11922.626","12742.851"
"2019-01-06 05:40:00.000","83.902","21.617","1.003","8282.0","7.409","11918.727","12742.075"
"2019-01-06 05:55:00.000","83.942","21.591","1.003","8283.0","7.409","11913.042","12742.874"
"2019-01-06 06:10:00.000","83.971","21.557","1.003","8286.0","7.412","11908.842","12747.195"
"2019-01-06 06:25:00.000","84.046","21.523","1.003","8284.0","7.41","11898.312","12744.674"
"2019-01-06 06:40:00.000","84.102","21.489","1.003","8284.0","7.41","11890.347","12744.965"
"2019-01-06 06:55:00.000","84.132","21.459","1.004","8286.0","7.412","11886.091","12748.302"
"2019-01-06 07:10:00.000","84.178","21.429","1.004","8287.0","7.413","11879.586","12749.091"
"2019-01-06 07:25:00.000","84.17","21.444","1.004","8285.0","7.411","11880.69","12746.299"
"2019-01-06 07:40:00.000","84.01","21.571","1.003","8279.0","7.406","11903.334","12737.492"
"2019-01-06 07:55:00.000","83.743","21.711","1.003","8282.0","7.409","11941.356","12741.752"
"2019-01-06 08:10:00.000","83.578","21.824","1.003","8279.0","7.407","11964.836","12737.39"
"2019-01-06 08:25:00.000","83.572","21.812","1.003","8282.0","7.41","11965.762","12741.481"
