Report Date:,11/22/2019 23:29:59
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630415_2019-09-27_09-49-33-699.wsl
Create Date,9/27/2019 16:49:05

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,7ft (630415)
Serial Number,630415
Firmware Version,2.01
Hardware Version,4
Device Address,2
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,11

Log Configuration
,Log Name,2019-06-23_630415
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:12:51 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:13:07 ,Used Battery: 11% Used Memory: 14%   User Name: Ian
9/27/2019 16:36:56 ,Used Battery: 17% Used Memory: 20%   User Name: Ian
9/27/2019 16:36:57 ,Manual Stop Command


Log Data:
Record Count,9187

Sensors,1

 ,1,630415,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630415                             ,SN#: 630415                             ,SN#: 630415                             ,SN#: 630415                             ,SN#: 630415                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/24/2019 00:00:00 ,                                  10.557,                               36857.402,                               50897.855,                                  32.981,                                   1.025,
6/24/2019 00:15:00 ,                                  10.804,                               37003.195,                               50768.949,                                  32.917,                                   1.025,
6/24/2019 00:30:00 ,                                  11.404,                               37367.105,                               50474.770,                                  32.774,                                   1.025,
6/24/2019 00:45:00 ,                                  11.551,                               37541.992,                               50519.715,                                  32.822,                                   1.025,
6/24/2019 01:00:00 ,                                  11.138,                               37187.977,                               50579.750,                                  32.820,                                   1.025,
6/24/2019 01:15:00 ,                                  10.448,                               36752.641,                               50899.297,                                  32.969,                                   1.025,
6/24/2019 01:30:00 ,                                  10.335,                               36672.410,                               50941.660,                                  32.985,                                   1.025,
6/24/2019 01:45:00 ,                                  10.396,                               36714.223,                               50916.828,                                  32.975,                                   1.025,
6/24/2019 02:00:00 ,                                  10.229,                               36673.652,                               51085.980,                                  33.076,                                   1.025,
6/24/2019 02:15:00 ,                                  10.242,                               36706.813,                               51114.922,                                  33.098,                                   1.025,
6/24/2019 02:30:00 ,                                  10.023,                               36518.859,                               51151.395,                                  33.097,                                   1.025,
6/24/2019 02:45:00 ,                                  10.278,                               36706.336,                               51065.609,                                  33.067,                                   1.025,
6/24/2019 03:00:00 ,                                  10.046,                               36599.613,                               51233.113,                                  33.159,                                   1.026,
6/24/2019 03:15:00 ,                                  10.017,                               36578.711,                               51242.813,                                  33.162,                                   1.026,
6/24/2019 03:30:00 ,                                   9.846,                               36412.504,                               51244.945,                                  33.142,                                   1.026,
6/24/2019 03:45:00 ,                                   9.731,                               36318.746,                               51271.840,                                  33.146,                                   1.026,
6/24/2019 04:00:00 ,                                   9.777,                               36321.227,                               51211.590,                                  33.109,                                   1.026,
6/24/2019 04:15:00 ,                                   9.693,                               36343.387,                               51359.441,                                  33.204,                                   1.026,
6/24/2019 04:30:00 ,                                   9.619,                               36274.809,                               51364.617,                                  33.198,                                   1.026,
6/24/2019 04:45:00 ,                                   9.671,                               36317.645,                               51353.023,                                  33.196,                                   1.026,
6/24/2019 05:00:00 ,                                   9.675,                               36333.563,                               51369.637,                                  33.209,                                   1.026,
6/24/2019 05:15:00 ,                                   9.749,                               36376.859,                               51327.945,                                  33.189,                                   1.026,
6/24/2019 05:30:00 ,                                   9.660,                               36323.242,                               51376.188,                                  33.212,                                   1.026,
6/24/2019 05:45:00 ,                                  10.125,                               36610.910,                               51140.738,                                  33.102,                                   1.025,
6/24/2019 06:00:00 ,                                  10.197,                               36657.313,                               51107.672,                                  33.088,                                   1.025,
6/24/2019 06:15:00 ,                                  10.362,                               36733.703,                               50990.059,                                  33.023,                                   1.025,
6/24/2019 06:30:00 ,                                  10.206,                               36630.934,                               51058.539,                                  33.053,                                   1.025,
6/24/2019 06:45:00 ,                                  10.330,                               36707.961,                               50997.621,                                  33.025,                                   1.025,
6/24/2019 07:00:00 ,                                  10.439,                               36751.633,                               50910.352,                                  32.976,                                   1.025,
6/24/2019 07:15:00 ,                                  10.980,                               37122.633,                               50698.590,                                  32.887,                                   1.025,
6/24/2019 07:30:00 ,                                  11.244,                               37248.152,                               50522.945,                                  32.791,                                   1.025,
6/24/2019 07:45:00 ,                                  11.191,                               37231.156,                               50569.254,                                  32.818,                                   1.025,
6/24/2019 08:00:00 ,                                  11.359,                               37309.199,                               50455.199,                                  32.755,                                   1.025,
6/24/2019 08:15:00 ,                                  11.512,                               37361.363,                               50326.637,                                  32.679,                                   1.025,
6/24/2019 08:30:00 ,                                  11.549,                               37335.371,                               50243.191,                                  32.622,                                   1.025,
6/24/2019 08:45:00 ,                                  11.570,                               37303.125,                               50173.844,                                  32.575,                                   1.025,
6/24/2019 09:00:00 ,                                  11.092,                               37083.840,                               50498.324,                                  32.756,                                   1.025,
6/24/2019 09:15:00 ,                                  11.345,                               37223.395,                               50357.590,                                  32.683,                                   1.025,
6/24/2019 09:30:00 ,                                  11.208,                               37166.898,                               50459.570,                                  32.741,                                   1.025,
6/24/2019 09:45:00 ,                                  11.055,                               37025.570,                               50467.297,                                  32.729,                                   1.025,
6/24/2019 10:00:00 ,                                  10.995,                               37028.152,                               50549.480,                                  32.781,                                   1.025,
6/24/2019 10:15:00 ,                                  10.759,                               36917.176,                               50710.781,                                  32.870,                                   1.025,
6/24/2019 10:30:00 ,                                  10.684,                               36857.160,                               50727.719,                                  32.873,                                   1.025,
6/24/2019 10:45:00 ,                                  10.730,                               36877.938,                               50695.289,                                  32.856,                                   1.025,
6/24/2019 11:00:00 ,                                  10.583,                               36805.332,                               50791.012,                                  32.907,                                   1.025,
6/24/2019 11:15:00 ,                                  10.595,                               36851.949,                               50839.152,                                  32.943,                                   1.025,
6/24/2019 11:30:00 ,                                  10.579,                               36790.574,                               50776.016,                                  32.896,                                   1.025,
6/24/2019 11:45:00 ,                                  10.578,                               36793.051,                               50781.285,                                  32.899,                                   1.025,
6/24/2019 12:00:00 ,                                  10.830,                               36910.684,                               50607.148,                                  32.804,                                   1.025,
6/24/2019 12:15:00 ,                                  10.567,                               36823.629,                               50838.215,                                  32.939,                                   1.025,
6/24/2019 12:30:00 ,                                  10.418,                               36694.691,                               50860.344,                                  32.937,                                   1.025,
6/24/2019 12:45:00 ,                                  10.439,                               36762.793,                               50926.180,                                  32.987,                                   1.025,
6/24/2019 13:00:00 ,                                  10.503,                               36785.914,                               50872.617,                                  32.956,                                   1.025,
6/24/2019 13:15:00 ,                                  10.390,                               36706.840,                               50914.758,                                  32.973,                                   1.025,
6/24/2019 13:30:00 ,                                  10.442,                               36765.391,                               50925.832,                                  32.987,                                   1.025,
6/24/2019 13:45:00 ,                                  10.389,                               36670.488,                               50865.551,                                  32.937,                                   1.025,
6/24/2019 14:00:00 ,                                  10.359,                               36679.781,                               50919.270,                                  32.972,                                   1.025,
6/24/2019 14:15:00 ,                                  10.165,                               36548.145,                               50998.766,                                  33.005,                                   1.025,
6/24/2019 14:30:00 ,                                  10.456,                               36699.715,                               50816.004,                                  32.910,                                   1.025,
6/24/2019 14:45:00 ,                                  10.375,                               36659.168,                               50869.008,                                  32.938,                                   1.025,
6/24/2019 15:00:00 ,                                  10.433,                               36717.555,                               50872.027,                                  32.947,                                   1.025,
6/24/2019 15:15:00 ,                                  10.707,                               36863.434,                               50706.129,                                  32.861,                                   1.025,
6/24/2019 15:30:00 ,                                  10.593,                               36788.387,                               50754.160,                                  32.882,                                   1.025,
6/24/2019 15:45:00 ,                                  10.457,                               36721.270,                               50844.258,                                  32.930,                                   1.025,
6/24/2019 16:00:00 ,                                  10.785,                               36889.484,                               50638.145,                                  32.821,                                   1.025,
6/24/2019 16:15:00 ,                                  10.581,                               36781.406,                               50761.539,                                  32.885,                                   1.025,
6/24/2019 16:30:00 ,                                  10.702,                               36845.992,                               50689.086,                                  32.848,                                   1.025,
6/24/2019 16:45:00 ,                                  10.634,                               36847.305,                               50780.832,                                  32.906,                                   1.025,
6/24/2019 17:00:00 ,                                  10.716,                               36916.922,                               50767.516,                                  32.906,                                   1.025,
6/24/2019 17:15:00 ,                                  10.732,                               36935.973,                               50772.520,                                  32.911,                                   1.025,
6/24/2019 17:30:00 ,                                  10.798,                               36949.453,                               50703.004,                                  32.869,                                   1.025,
6/24/2019 17:45:00 ,                                  10.822,                               36971.828,                               50702.004,                                  32.871,                                   1.025,
