Sensor n. 01  Type: Barometer[161]  s/n:18104414  Batt:100%
Sensor n. 02  Type: AquaTR100[10]  s/n:630411  Batt:88%
Sensor n. 03  Type: AquaTR100[10]  s/n:630415  Batt:88%
Sensor n. 04  Type: AquaTR100[10]  s/n:630427  Batt:89%
Record n,Date,Time,Sensor n,Pressure(mBar)[2:21],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129]
1,21/01/2019,11:00,01,1028.700,02,29311.808,9.982,41101.708,25.975,26.716,34.116,1.020,03,31928.066,10.343,44341.032,28.282,28.822,31.320,1.022,04,33034.046,10.523,45658.780,29.232,29.678,30.272,1.022
2,21/01/2019,12:00,01,1029.100,02,29856.058,10.178,41645.828,26.374,27.070,33.494,1.020,03,32492.066,10.434,45015.996,28.768,29.260,30.777,1.022,04,33372.046,10.574,46064.104,29.525,29.942,29.965,1.023
3,21/01/2019,13:00,01,1029.500,02,27927.448,10.073,39065.284,24.569,25.392,35.807,1.019,03,32394.286,10.460,44849.416,28.652,29.152,30.870,1.022,04,33572.656,10.605,46303.952,29.698,30.098,29.786,1.023
4,21/01/2019,14:00,01,1029.800,02,30648.858,10.413,42485.516,26.984,27.616,32.628,1.021,03,32817.126,10.541,45338.516,29.007,29.470,30.472,1.022,04,33514.452,10.675,46138.156,29.588,29.990,29.838,1.023
5,21/01/2019,15:00,01,1030.100,02,31128.072,10.493,43059.552,27.394,27.989,32.125,1.021,03,31793.216,10.530,43935.824,28.015,28.558,31.453,1.021,04,32499.238,10.619,44806.332,28.638,29.124,30.770,1.022
6,21/01/2019,16:00,01,1031.300,02,29977.762,10.405,41564.528,26.338,27.017,33.358,1.020,03,30487.060,10.444,42227.512,26.806,27.448,32.801,1.020,04,30994.350,10.517,42846.616,27.247,27.850,32.264,1.021
7,21/01/2019,17:00,01,1032.100,02,27308.222,10.166,38104.112,23.913,24.768,36.619,1.018,03,29201.952,10.332,40567.000,25.635,26.369,34.244,1.020,04,30495.088,10.474,42205.092,26.793,27.433,32.792,1.020
8,21/01/2019,18:00,01,1032.100,02,26196.192,10.036,36680.016,22.922,23.842,38.173,1.018,03,28899.058,10.304,40176.344,25.361,26.115,34.603,1.019,04,31569.662,10.555,43598.112,27.779,28.339,31.676,1.021
9,21/01/2019,19:00,01,1032.300,02,26454.910,10.072,37006.772,23.149,24.054,37.800,1.018,03,28090.888,10.235,39124.916,24.625,25.431,35.599,1.019,04,29434.282,10.403,40812.732,25.813,26.528,33.974,1.020
10,21/01/2019,20:00,01,1032.500,02,23364.796,9.765,32953.708,20.362,21.420,42.799,1.016,03,24318.706,9.836,34233.956,21.235,22.252,41.121,1.016,04,27113.652,10.149,37849.824,23.736,24.602,36.882,1.018
11,21/01/2019,21:00,01,1032.700,02,21738.512,9.663,30744.426,18.866,19.984,46.001,1.014,03,22844.682,9.731,32250.088,19.884,20.963,43.774,1.015,04,25217.778,9.952,35389.096,22.032,23.003,39.655,1.017
12,21/01/2019,22:00,01,1032.800,02,22582.850,9.727,31883.996,19.637,20.725,44.281,1.015,03,26951.102,10.088,37683.936,23.617,24.495,37.104,1.018,04,27130.150,10.169,37852.456,23.740,24.604,36.859,1.018
13,21/01/2019,23:00,01,1032.700,02,22855.910,9.700,32292.510,19.910,20.990,43.752,1.015,03,29709.228,10.317,41288.096,26.137,26.837,33.660,1.020,04,32043.812,10.554,44254.316,28.242,28.765,31.207,1.022
14,22/01/2019,00:00,01,1032.900,02,24201.508,9.796,34105.652,21.145,22.169,41.320,1.016,03,31714.308,10.483,43881.944,27.972,28.523,31.532,1.021,04,32557.948,10.583,44929.896,28.722,29.204,30.714,1.022
15,22/01/2019,01:00,01,1032.300,02,26923.478,10.073,37660.560,23.599,24.479,37.142,1.018,03,32369.420,10.523,44741.080,28.582,29.082,30.893,1.022,04,33080.578,10.608,45620.892,29.214,29.654,30.229,1.022
16,22/01/2019,02:00,01,1032.400,02,29292.738,10.283,40746.396,25.756,26.485,34.138,1.020,03,32933.462,10.595,45434.156,29.080,29.532,30.364,1.022,04,33148.362,10.633,45684.440,29.262,29.695,30.167,1.022
17,22/01/2019,03:00,01,1032.300,02,27593.410,9.900,38777.284,24.355,25.205,36.241,1.019,03,32346.446,10.473,44767.792,28.596,29.099,30.915,1.022,04,32927.060,10.573,45451.524,29.090,29.543,30.370,1.022
18,22/01/2019,04:00,01,1032.200,02,30748.802,10.270,42786.092,27.181,27.811,32.522,1.021,03,32134.290,10.432,44522.472,28.419,28.940,31.119,1.022,04,32827.322,10.567,45321.192,28.997,29.459,30.462,1.022
19,22/01/2019,05:00,01,1032.400,02,30668.602,10.262,42684.392,27.108,27.745,32.607,1.021,03,32151.802,10.437,44540.800,28.432,28.952,31.102,1.022,04,33124.558,10.603,45688.132,29.261,29.697,30.146,1.022
20,22/01/2019,06:00,01,1032.400,02,30553.986,10.244,42545.120,27.009,27.654,32.729,1.021,03,31572.186,10.383,43800.096,27.904,28.470,31.673,1.021,04,32685.632,10.549,45147.356,28.872,29.346,30.581,1.022
21,22/01/2019,07:00,01,1031.900,02,27359.762,9.846,38504.476,24.162,25.028,36.550,1.019,03,29556.376,10.111,41301.972,26.127,26.846,33.834,1.020,04,30934.148,10.335,42970.216,27.316,27.931,32.301,1.021
22,22/01/2019,08:00,01,1031.900,02,27437.500,9.901,38556.472,24.203,25.071,36.432,1.019,03,28999.150,10.035,40605.172,25.635,26.393,34.484,1.020,04,30312.190,10.281,42166.692,26.748,27.408,32.990,1.020
23,22/01/2019,09:00,01,1031.400,02,27930.086,10.014,39130.552,24.609,25.435,35.804,1.019,03,29679.038,10.175,41402.264,26.203,26.911,33.694,1.020,04,30471.478,10.303,42363.180,26.887,27.536,32.806,1.021
24,22/01/2019,10:00,01,1031.900,02,29292.212,10.154,40885.356,25.841,26.575,34.139,1.020,03,30967.186,10.302,43053.516,27.371,27.985,32.292,1.021,04,31409.436,10.392,43564.104,27.739,28.317,31.832,1.021
25,22/01/2019,11:00,01,1031.500,02,28278.036,10.084,39543.852,24.902,25.704,35.363,1.019,03,31311.390,10.369,43455.204,27.660,28.246,31.937,1.021,04,31936.200,10.458,44218.104,28.206,28.742,31.312,1.022
26,22/01/2019,12:00,01,1030.900,02,28358.282,10.046,39696.752,25.005,25.803,35.263,1.019,03,31399.636,10.389,43554.060,27.732,28.310,31.848,1.021,04,32645.302,10.547,45092.964,28.834,29.310,30.632,1.022
27,22/01/2019,13:00,01,1030.300,02,29693.082,10.194,41400.556,26.204,26.910,33.678,1.020,03,32404.386,10.479,44840.684,28.648,29.146,30.860,1.022,04,32904.198,10.569,45424.892,29.071,29.526,30.391,1.022
28,22/01/2019,14:00,01,1029.800,02,27050.002,9.961,37951.504,23.790,24.668,36.969,1.018,03,29037.252,10.189,40492.312,25.570,26.320,34.439,1.020,04,32120.386,10.479,44448.692,28.371,28.892,31.133,1.022
29,22/01/2019,15:00,01,1029.400,02,27081.840,9.975,37981.360,23.812,24.688,36.925,1.018,03,29039.712,10.171,40514.376,25.584,26.334,34.436,1.020,04,32347.588,10.532,44699.952,28.554,29.055,30.914,1.022
30,22/01/2019,16:00,01,1029.200,02,29660.950,10.229,41317.336,26.149,26.856,33.714,1.020,03,30613.276,10.319,42542.204,27.014,27.652,32.666,1.021,04,31927.170,10.448,44216.536,28.204,28.741,31.321,1.022
31,22/01/2019,17:00,01,1029.600,02,29823.386,10.237,41535.592,26.302,26.998,33.531,1.020,03,30361.038,10.276,42240.456,26.799,27.456,32.937,1.021,04,30782.920,10.361,42730.732,27.151,27.775,32.486,1.021
32,22/01/2019,18:00,01,1029.000,02,28004.046,10.115,39128.700,24.617,25.434,35.709,1.019,03,29490.738,10.223,41087.084,25.988,26.707,33.909,1.020,04,30060.826,10.290,41806.832,26.497,27.174,33.266,1.020
33,22/01/2019,19:00,01,1028.800,02,26511.728,10.023,37134.720,23.233,24.138,37.719,1.018,03,29248.302,10.175,40801.392,25.784,26.521,34.190,1.020,04,30255.852,10.320,42044.880,26.666,27.329,33.051,1.020
34,22/01/2019,20:00,01,1028.600,02,25683.246,9.982,36013.400,22.461,23.409,38.936,1.017,03,27295.528,10.079,38174.628,23.954,24.814,36.636,1.018,04,29605.590,10.269,41196.596,26.068,26.778,33.777,1.020
35,22/01/2019,21:00,01,1028.000,02,22726.758,9.856,31976.026,19.708,20.784,44.001,1.015,03,24674.458,9.927,34649.828,21.525,22.522,40.528,1.016,04,26393.932,10.048,36944.252,23.105,24.014,37.888,1.018
36,22/01/2019,22:00,01,1026.700,02,21769.232,9.760,30707.526,18.848,19.960,45.936,1.014,03,23456.200,9.842,33014.800,20.409,21.460,42.633,1.016,04,24713.828,9.955,34679.488,21.548,22.542,40.463,1.016
37,22/01/2019,23:00,01,1026.800,02,22760.252,9.820,32053.896,19.758,20.835,43.936,1.015,03,26663.610,10.041,37329.664,23.369,24.264,37.504,1.018,04,28856.348,10.239,40186.464,25.362,26.121,34.654,1.019
38,23/01/2019,00:00,01,1027.100,02,22432.878,9.871,31549.566,19.422,20.507,44.577,1.015,03,29721.808,10.263,41365.140,26.186,26.887,33.645,1.020,04,31026.796,10.415,43008.124,27.351,27.955,32.230,1.021
39,23/01/2019,01:00,01,1027.000,02,22832.916,9.978,32020.326,19.746,20.813,43.796,1.015,03,31033.062,10.350,43090.300,27.402,28.009,32.224,1.021,04,31803.190,10.485,44002.200,28.057,28.601,31.443,1.021
40,23/01/2019,02:00,01,1027.100,02,25919.420,10.066,36263.032,22.639,23.571,38.581,1.017,03,31282.240,10.399,43380.572,27.611,28.197,31.967,1.021,04,32419.252,10.534,44796.172,28.622,29.118,30.846,1.022
41,23/01/2019,03:00,01,1027.200,02,24523.052,10.101,34277.496,21.285,22.280,40.778,1.016,03,31792.072,10.447,44031.240,28.074,28.620,31.454,1.021,04,32295.916,10.558,44597.964,28.485,28.989,30.964,1.022
42,23/01/2019,04:00,01,1026.800,02,28475.020,10.325,39565.060,24.938,25.717,35.119,1.019,03,31192.582,10.477,43166.424,27.468,28.058,32.059,1.021,04,31958.038,10.571,44116.380,28.146,28.676,31.291,1.022
43,23/01/2019,05:00,01,1026.700,02,26528.872,10.272,36912.464,23.101,23.993,37.695,1.018,03,28941.296,10.374,40160.620,25.356,26.104,34.553,1.019,04,32046.658,10.570,44240.204,28.233,28.756,31.205,1.022
44,23/01/2019,06:00,01,1027.100,02,27612.916,10.327,38365.136,24.107,24.937,36.215,1.018,03,30714.048,10.468,42514.400,27.009,27.634,32.558,1.021,04,31769.432,10.554,43875.912,27.975,28.519,31.477,1.021
45,23/01/2019,07:00,01,1027.700,02,28684.890,10.362,39817.504,25.117,25.881,34.862,1.019,03,30316.076,10.442,41992.016,26.641,27.295,32.986,1.020,04,31362.540,10.532,43338.864,27.594,28.170,31.885,1.021
46,23/01/2019,08:00,01,1028.300,02,27758.228,10.354,38538.692,24.229,25.050,36.025,1.019,03,28753.340,10.381,39891.652,25.170,25.930,34.779,1.019,04,31101.912,10.515,42998.124,27.353,27.949,32.152,1.021
47,23/01/2019,09:00,01,1029.000,02,28121.252,10.363,39033.584,24.573,25.372,35.560,1.019,03,29139.148,10.380,40428.964,25.544,26.279,34.318,1.020,04,30298.972,10.472,41934.996,26.604,27.258,33.004,1.020
48,23/01/2019,10:00,01,1030.300,02,28725.970,10.358,39878.104,25.158,25.921,34.812,1.019,03,29673.276,10.384,41165.436,26.057,26.758,33.700,1.020,04,30353.008,10.460,42023.312,26.664,27.315,32.946,1.020
49,23/01/2019,11:00,01,1031.500,02,29958.550,10.422,41519.436,26.308,26.988,33.379,1.020,03,30614.612,10.454,42392.064,26.922,27.555,32.664,1.021,04,31130.426,10.519,43032.356,27.378,27.971,32.123,1.021
50,23/01/2019,12:00,01,1031.700,02,29387.678,10.462,40684.848,25.729,26.445,34.028,1.020,03,31391.022,10.541,43367.764,27.616,28.189,31.856,1.021,04,31582.210,10.601,43563.424,27.759,28.316,31.663,1.021
51,23/01/2019,13:00,01,1031.200,02,30297.966,10.534,41865.172,26.560,27.212,33.006,1.020,03,30773.748,10.557,42497.412,27.006,27.623,32.495,1.021,04,32045.422,10.662,44131.156,28.165,28.685,31.206,1.022
52,23/01/2019,14:00,01,1031.300,02,30859.686,10.611,42555.200,27.051,27.661,32.405,1.021,03,32214.240,10.630,44400.404,28.352,28.860,31.042,1.022,04,32444.816,10.683,44656.704,28.539,29.027,30.822,1.022
53,23/01/2019,15:00,01,1031.400,02,30902.270,10.665,42553.420,27.055,27.660,32.360,1.021,03,31982.002,10.684,44018.204,28.088,28.612,31.268,1.021,04,32516.446,10.754,44672.052,28.568,29.047,30.743,1.022
54,23/01/2019,16:00,01,1031.700,02,30869.296,10.726,42439.252,26.981,27.586,32.395,1.021,03,31497.910,10.742,43286.400,27.578,28.136,31.748,1.021,04,31933.748,10.775,43846.856,27.976,28.500,31.315,1.021
55,23/01/2019,17:00,01,1032.400,02,31183.262,10.719,42879.232,27.289,27.872,32.068,1.021,03,31503.620,10.719,43320.216,27.599,28.158,31.742,1.021,04,31640.758,10.736,43489.440,27.720,28.268,31.605,1.021
56,23/01/2019,18:00,01,1033.000,02,29798.910,10.582,41124.208,26.047,26.731,33.558,1.020,03,30832.608,10.650,42473.612,26.998,27.608,32.433,1.021,04,31394.750,10.721,43168.080,27.492,28.059,31.852,1.021
57,23/01/2019,19:00,01,1033.400,02,26847.146,10.423,37206.284,23.315,24.184,37.248,1.018,03,29517.088,10.573,40744.312,25.781,26.484,33.879,1.020,04,30996.050,10.707,42635.704,27.117,27.713,32.262,1.021
58,23/01/2019,20:00,01,1033.200,02,26148.860,10.330,36327.624,22.704,23.613,38.243,1.017,03,29486.246,10.603,40669.836,25.731,26.435,33.914,1.020,04,31160.916,10.720,42847.892,27.267,27.851,32.091,1.021
59,23/01/2019,21:00,01,1033.200,02,23999.556,10.202,33455.778,20.733,21.746,41.667,1.016,03,25863.372,10.318,35942.212,22.438,23.362,38.665,1.017,04,29181.990,10.582,40271.956,25.452,26.177,34.268,1.019
60,23/01/2019,22:00,01,1033.100,02,21468.202,10.035,30060.322,18.432,19.537,46.585,1.014,03,22251.408,10.090,31111.370,19.141,20.222,44.941,1.015,04,26887.082,10.411,37273.716,23.361,24.228,37.193,1.018
61,23/01/2019,23:00,01,1033.500,02,21564.970,10.064,30172.570,18.509,19.612,46.372,1.014,03,22944.018,10.173,32008.870,19.752,20.806,43.584,1.015,04,25932.532,10.363,35995.396,22.478,23.397,38.562,1.017
62,24/01/2019,00:00,01,1034.200,02,20995.008,10.013,29415.036,17.999,19.120,47.630,1.014,03,27983.846,10.449,38754.204,24.387,25.190,35.735,1.019,04,29393.026,10.586,40559.564,25.653,26.364,34.022,1.020
63,24/01/2019,01:00,01,1034.300,02,23406.320,10.172,32654.610,20.188,21.225,42.724,1.015,03,30850.358,10.640,42509.232,27.022,27.631,32.415,1.021,04,31650.820,10.728,43512.140,27.756,28.302,31.573,1.021
64,24/01/2019,02:00,01,1034.200,02,24097.366,10.202,33591.888,20.826,21.835,41.498,1.016,03,30442.160,10.610,41980.116,26.648,27.287,32.849,1.020,04,32429.028,10.777,44524.660,28.455,28.941,30.837,1.022
65,24/01/2019,03:00,01,1033.800,02,27512.498,10.408,38143.812,23.961,24.793,36.347,1.018,03,31496.178,10.675,43359.860,27.623,28.184,31.750,1.021,04,32237.766,10.763,44277.856,28.279,28.781,31.020,1.022
66,24/01/2019,04:00,01,1033.300,02,26543.660,10.280,36925.300,23.110,24.001,37.674,1.018,03,30853.816,10.665,42486.472,27.008,27.616,32.411,1.021,04,32320.472,10.771,44382.432,28.354,28.849,30.940,1.022
67,24/01/2019,05:00,01,1033.200,02,28231.796,10.366,39183.792,24.677,25.469,35.421,1.019,03,30696.212,10.601,42341.372,26.900,27.522,32.577,1.021,04,31693.582,10.726,43573.324,27.778,28.323,31.552,1.021
68,24/01/2019,06:00,01,1033.200,02,29063.462,10.438,40261.276,25.432,26.170,34.407,1.019,03,30491.322,10.576,42085.444,26.719,27.356,32.796,1.020,04,31738.420,10.718,43644.284,27.828,28.369,31.508,1.021
69,24/01/2019,07:00,01,1033.400,02,29429.482,10.437,40769.800,25.786,26.500,33.980,1.020,03,30815.936,10.560,42551.464,27.044,27.658,32.451,1.021,04,31761.026,10.706,43688.364,27.858,28.397,31.485,1.021
70,24/01/2019,08:00,01,1033.900,02,29098.052,10.405,40345.200,25.487,26.224,34.367,1.019,03,30192.450,10.547,41705.744,26.450,27.109,33.121,1.020,04,31588.878,10.702,43456.372,27.694,28.247,31.657,1.021
71,24/01/2019,09:00,01,1033.700,02,26668.838,10.101,37276.800,23.338,24.230,37.497,1.018,03,28190.120,10.258,39238.300,24.706,25.505,35.473,1.019,04,28775.520,10.374,39930.416,25.196,25.955,34.752,1.019
72,24/01/2019,10:00,01,1033.300,02,24631.928,10.054,34473.096,21.415,22.408,40.598,1.016,03,27252.020,10.203,37988.400,23.836,24.692,36.695,1.018,04,28517.776,10.345,39602.972,24.966,25.742,35.066,1.019
73,24/01/2019,11:00,01,1032.500,02,25226.136,10.165,35199.672,21.919,22.880,39.641,1.017,03,27567.628,10.307,38321.908,24.076,24.909,36.274,1.018,04,29096.436,10.459,40284.872,25.450,26.185,34.368,1.019
74,24/01/2019,12:00,01,1031.900,02,24115.546,10.244,33579.700,20.821,21.827,41.467,1.016,03,29043.150,10.475,40193.652,25.388,26.126,34.432,1.019,04,30500.572,10.656,42010.144,26.673,27.307,32.786,1.020
75,24/01/2019,13:00,01,1031.400,02,25171.102,10.354,34946.724,21.760,22.715,39.728,1.017,03,30705.788,10.685,42260.792,26.852,27.470,32.567,1.020,04,31567.488,10.818,43295.576,27.591,28.142,31.678,1.021
76,24/01/2019,14:00,01,1031.500,02,27347.650,10.494,37828.624,23.750,24.589,36.566,1.018,03,30747.500,10.707,42293.392,26.877,27.491,32.523,1.021,04,32028.760,10.888,43847.320,27.987,28.501,31.222,1.021
77,24/01/2019,15:00,01,1031.100,02,30479.670,10.655,41982.804,26.654,27.289,32.809,1.020,03,31630.098,10.805,43396.252,27.661,28.208,31.615,1.021,04,32103.400,10.894,43942.704,28.055,28.563,31.149,1.021
78,24/01/2019,16:00,01,1031.100,02,26012.108,10.686,35799.452,22.368,23.270,38.444,1.017,03,30853.032,10.844,42286.516,26.884,27.486,32.412,1.020,04,32161.620,10.981,43922.656,28.049,28.550,31.093,1.021
79,24/01/2019,17:00,01,1031.800,02,27242.910,10.721,37458.624,23.513,24.348,36.707,1.018,03,30325.432,10.864,41541.464,26.364,27.002,32.976,1.020,04,31628.136,10.953,43225.732,27.555,28.097,31.617,1.021
80,24/01/2019,18:00,01,1031.900,02,28599.926,10.769,39275.964,24.775,25.529,34.965,1.019,03,30358.300,10.836,41616.892,26.414,27.051,32.940,1.020,04,31178.928,10.907,42662.760,27.155,27.731,32.073,1.021
81,24/01/2019,19:00,01,1031.600,02,28016.976,10.556,38690.812,24.352,25.149,35.693,1.019,03,29155.072,10.673,40138.752,25.367,26.090,34.299,1.019,04,30621.878,10.835,41979.180,26.668,27.286,32.656,1.020
82,24/01/2019,20:00,01,1030.900,02,28005.316,10.572,38658.744,24.331,25.128,35.708,1.019,03,29525.808,10.705,40614.696,25.702,26.400,33.869,1.020,04,30387.546,10.815,41680.236,26.457,27.092,32.908,1.020
83,24/01/2019,21:00,01,1030.900,02,25923.702,10.295,36048.624,22.510,23.432,38.575,1.017,03,27014.332,10.368,37492.744,23.508,24.370,37.017,1.018,04,29394.232,10.747,40389.352,25.548,26.253,34.020,1.019
84,24/01/2019,22:00,01,1030.900,02,22557.866,10.040,31581.808,19.455,20.528,44.330,1.015,03,24285.868,10.114,33933.816,21.052,22.057,41.176,1.016,04,28033.816,10.569,38701.152,24.360,25.156,35.671,1.019
85,24/01/2019,23:00,01,1030.600,02,20685.468,9.929,29046.926,17.748,18.881,48.343,1.014,03,21887.038,10.008,30669.220,18.839,19.935,45.689,1.014,04,24187.696,10.218,33703.300,20.903,21.907,41.343,1.016
86,25/01/2019,00:00,01,1030.800,02,21904.688,10.083,30632.140,18.819,19.911,45.652,1.014,03,24075.996,10.195,33567.936,20.809,21.819,41.535,1.016,04,26651.800,10.494,36866.016,23.087,23.963,37.521,1.018
87,25/01/2019,01:00,01,1031.100,02,20430.814,9.760,28820.066,17.586,18.733,48.946,1.013,03,28765.286,10.545,39736.476,25.076,25.829,34.764,1.019,04,30981.190,10.741,42576.652,27.079,27.675,32.278,1.021
88,25/01/2019,02:00,01,1031.500,02,23901.416,10.027,33474.698,20.734,21.759,41.839,1.016,03,31740.086,10.743,43617.120,27.811,28.351,31.506,1.021,04,32757.228,10.851,44887.956,28.719,29.177,30.528,1.022
89,25/01/2019,03:00,01,1031.600,02,24705.328,10.090,34542.620,21.465,22.453,40.477,1.016,03,32110.072,10.752,44115.080,28.163,28.675,31.143,1.021,04,33260.660,10.897,45523.496,29.174,29.590,30.066,1.022
90,25/01/2019,04:00,01,1031.500,02,29375.848,10.534,40590.912,25.670,26.384,34.042,1.020,03,32912.060,10.839,45114.820,28.879,29.325,30.384,1.022,04,33173.602,10.877,45428.260,29.105,29.528,30.144,1.022
91,25/01/2019,05:00,01,1031.100,02,24959.736,9.934,35044.436,21.795,22.779,40.065,1.017,03,32366.622,10.810,44399.856,28.370,28.869,30.887,1.022,04,32994.498,10.857,45206.076,28.945,29.384,30.308,1.022
92,25/01/2019,06:00,01,1031.300,02,28656.960,10.108,40047.664,25.254,26.031,34.896,1.019,03,31952.248,10.625,44045.884,28.102,28.630,31.297,1.021,04,32847.598,10.796,45076.916,28.848,29.300,30.444,1.022
93,25/01/2019,07:00,01,1031.500,02,29846.882,10.360,41432.764,26.242,26.931,33.504,1.020,03,32283.682,10.687,44429.996,28.379,28.880,30.975,1.022,04,33223.532,10.836,45544.340,29.183,29.604,30.099,1.022
94,25/01/2019,08:00,01,1031.600,02,30420.398,10.405,42178.660,26.768,27.416,32.873,1.020,03,31110.372,10.448,43085.632,27.408,28.006,32.144,1.021,04,32956.888,10.813,45206.992,28.941,29.385,30.343,1.022
95,25/01/2019,09:00,01,1032.000,02,28536.566,9.980,40016.236,25.220,26.011,35.043,1.019,03,30554.532,10.344,42432.552,26.940,27.581,32.728,1.021,04,31739.778,10.586,43797.132,27.922,28.468,31.506,1.021
96,25/01/2019,10:00,01,1032.600,02,25380.096,9.847,35717.888,22.248,23.217,39.401,1.017,03,26749.376,9.816,37676.420,23.588,24.490,37.384,1.018,04,29826.232,10.274,41498.576,26.280,26.974,33.528,1.020
97,25/01/2019,11:00,01,1032.900,02,24039.626,9.892,33789.972,20.938,21.963,41.598,1.016,03,26405.996,9.880,37128.564,23.217,24.134,37.870,1.018,04,28906.716,10.146,40356.752,25.472,26.232,34.594,1.020
98,25/01/2019,12:00,01,1032.500,02,23988.672,10.015,33607.916,20.823,21.845,41.686,1.016,03,26548.688,10.111,37098.676,23.216,24.114,37.667,1.018,04,27874.486,10.235,38823.156,24.416,25.235,35.875,1.019
99,25/01/2019,13:00,01,1031.700,02,23966.546,10.158,33448.310,20.725,21.741,41.725,1.016,03,27664.622,10.367,38395.564,24.131,24.957,36.147,1.018,04,30683.236,10.563,42350.544,26.903,27.528,32.603,1.021
100,25/01/2019,14:00,01,1031.200,02,26275.108,10.265,36566.596,22.863,23.768,38.059,1.017,03,31477.852,10.636,43378.564,27.633,28.196,31.768,1.021,04,32795.808,10.837,44956.816,28.767,29.222,30.492,1.022
101,25/01/2019,15:00,01,1031.100,02,28167.222,10.469,38988.524,24.551,25.343,35.502,1.019,03,32810.402,10.731,45102.440,28.859,29.317,30.478,1.022,04,33599.056,10.918,45961.344,29.487,29.875,29.763,1.023
102,25/01/2019,16:00,01,1031.300,02,30109.558,10.653,41475.112,26.298,26.959,33.212,1.020,03,32825.150,10.822,45015.704,28.807,29.260,30.464,1.022,04,33568.084,10.915,45921.716,29.459,29.849,29.790,1.022
103,25/01/2019,17:00,01,1031.300,02,27243.310,10.422,37755.772,23.694,24.541,36.706,1.018,03,30625.926,10.720,42111.716,26.750,27.373,32.652,1.020,04,33548.198,10.971,45828.156,29.398,29.788,29.808,1.022
104,25/01/2019,18:00,01,1031.400,02,28915.182,10.642,39841.400,25.158,25.897,34.584,1.019,03,30031.816,10.695,41322.252,26.195,26.859,33.298,1.020,04,31830.832,10.851,43618.596,27.822,28.352,31.416,1.021
105,25/01/2019,19:00,01,1032.200,02,29131.296,10.621,40160.636,25.378,26.104,34.327,1.019,03,29706.066,10.683,40886.916,25.890,26.576,33.663,1.020,04,31108.790,10.805,42777.444,27.226,27.805,32.073,1.021
106,25/01/2019,20:00,01,1032.400,02,28589.598,10.487,39554.292,24.945,25.710,34.978,1.019,03,29163.716,10.579,40250.696,25.437,26.163,34.289,1.019,04,31136.338,10.791,42733.564,27.194,27.777,32.117,1.021
107,25/01/2019,21:00,01,1032.500,02,28706.628,10.515,39686.244,25.039,25.796,34.835,1.019,03,29031.386,10.575,40071.832,25.312,26.047,34.445,1.019,04,29890.422,10.708,41113.220,26.050,26.724,33.456,1.020
108,25/01/2019,22:00,01,1032.800,02,23414.502,9.991,32824.120,20.290,21.336,42.709,1.015,03,24815.986,10.105,34683.052,21.561,22.544,40.297,1.016,04,29084.238,10.599,40119.260,25.347,26.078,34.383,1.019
109,25/01/2019,23:00,01,1032.900,02,21052.732,9.877,29603.776,18.117,19.242,47.500,1.014,03,22349.008,9.972,31346.450,19.292,20.375,44.745,1.015,04,25906.382,10.217,36099.636,22.538,23.465,38.601,1.017
110,26/01/2019,00:00,01,1032.500,02,20243.372,9.812,28515.816,17.387,18.535,49.399,1.013,03,21572.778,9.929,30292.860,18.581,19.690,46.355,1.014,04,25127.766,10.276,34958.908,21.763,22.723,39.797,1.017
111,26/01/2019,01:00,01,1032.600,02,20703.656,9.745,29216.632,17.850,18.991,48.301,1.014,03,25414.190,10.226,35405.124,22.064,23.013,39.348,1.017,04,29025.886,10.576,40063.472,25.306,26.041,34.452,1.019
112,26/01/2019,02:00,01,1032.500,02,20739.044,9.705,29298.150,17.902,19.044,48.218,1.014,03,30672.436,10.622,42285.132,26.863,27.485,32.603,1.021,04,32734.840,10.815,44899.732,28.724,29.185,30.548,1.022
113,26/01/2019,03:00,01,1031.700,02,22769.412,9.813,32072.440,19.770,20.847,43.919,1.015,03,33213.532,10.803,45570.024,29.198,29.621,30.108,1.022,04,34003.856,10.905,46530.156,29.891,30.245,29.408,1.023
114,26/01/2019,04:00,01,1031.800,02,28185.136,10.327,39160.172,24.657,25.454,35.480,1.019,03,32823.386,10.824,45010.264,28.803,29.257,30.466,1.022,04,34497.216,10.933,47171.560,30.351,30.662,28.988,1.023
115,26/01/2019,05:00,01,1031.700,02,30038.988,10.475,41572.824,26.350,27.022,33.290,1.020,03,34073.212,10.876,46661.004,29.981,30.330,29.349,1.023,04,34640.720,10.933,47367.552,30.491,30.789,28.868,1.023
