Report Date:,11/22/2019 23:29:53
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630411_2019-09-27_09-34-15-429.wsl
Create Date,9/27/2019 16:33:28

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,3 ft (SN630411)
Serial Number,630411
Firmware Version,2.01
Hardware Version,4
Device Address,1
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,11

Log Configuration
,Log Name,2019-06-23_630411
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:10:33 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:10:59 ,Used Battery: 11% Used Memory: 14%   User Name: Ian
9/27/2019 16:21:39 ,Used Battery: 17% Used Memory: 20%   User Name: Ian
9/27/2019 16:21:39 ,Manual Stop Command


Log Data:
Record Count,9186

Sensors,1

 ,1,630411,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/24/2019 11:00:00 ,                                  10.870,                               36844.121,                               50463.348,                                  32.705,                                   1.025,
6/24/2019 11:15:00 ,                                  11.033,                               36887.063,                               50306.992,                                  32.611,                                   1.025,
6/24/2019 11:30:00 ,                                  11.184,                               36944.809,                               50189.438,                                  32.543,                                   1.025,
6/24/2019 11:45:00 ,                                  11.301,                               36989.941,                               50098.488,                                  32.491,                                   1.025,
6/24/2019 12:00:00 ,                                  11.277,                               36974.660,                               50108.309,                                  32.495,                                   1.025,
6/24/2019 12:15:00 ,                                  11.117,                               36903.023,                               50219.016,                                  32.557,                                   1.025,
6/24/2019 12:30:00 ,                                  10.966,                               36851.551,                               50347.363,                                  32.632,                                   1.025,
6/24/2019 12:45:00 ,                                  11.101,                               36912.305,                               50252.813,                                  32.580,                                   1.025,
6/24/2019 13:00:00 ,                                  11.149,                               36895.320,                               50166.859,                                  32.523,                                   1.025,
6/24/2019 13:15:00 ,                                  11.070,                               36876.785,                               50245.145,                                  32.570,                                   1.025,
6/24/2019 13:30:00 ,                                  10.916,                               36852.723,                               50414.594,                                  32.675,                                   1.025,
6/24/2019 13:45:00 ,                                  10.886,                               36780.988,                               50355.480,                                  32.629,                                   1.025,
6/24/2019 14:00:00 ,                                  10.985,                               36850.211,                               50320.758,                                  32.615,                                   1.025,
6/24/2019 14:15:00 ,                                  10.919,                               36785.270,                               50318.246,                                  32.606,                                   1.025,
6/24/2019 14:30:00 ,                                  10.758,                               36736.434,                               50463.395,                                  32.692,                                   1.025,
6/24/2019 14:45:00 ,                                  10.518,                               36548.742,                               50524.590,                                  32.707,                                   1.025,
6/24/2019 15:00:00 ,                                  10.561,                               36586.938,                               50519.754,                                  32.709,                                   1.025,
6/24/2019 15:15:00 ,                                  10.767,                               36729.383,                               50441.746,                                  32.677,                                   1.025,
6/24/2019 15:30:00 ,                                  10.751,                               36689.566,                               50408.449,                                  32.651,                                   1.025,
6/24/2019 15:45:00 ,                                  10.756,                               36745.746,                               50478.855,                                  32.703,                                   1.025,
6/24/2019 16:00:00 ,                                  10.847,                               36780.520,                               50406.801,                                  32.661,                                   1.025,
6/24/2019 16:15:00 ,                                  10.869,                               36820.301,                               50432.645,                                  32.682,                                   1.025,
6/24/2019 16:30:00 ,                                  11.017,                               36891.070,                               50333.953,                                  32.628,                                   1.025,
6/24/2019 16:45:00 ,                                  11.131,                               36988.957,                               50317.605,                                  32.630,                                   1.025,
6/24/2019 17:00:00 ,                                  11.267,                               37050.688,                               50223.984,                                  32.577,                                   1.025,
6/24/2019 17:15:00 ,                                  11.005,                               36846.699,                               50289.063,                                  32.595,                                   1.025,
