Report Date:,11/22/2019 23:30:03
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630427_2019-09-27_10-02-48-983.wsl
Create Date,9/27/2019 17:02:41

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,11ft (630427)
Serial Number,630427
Firmware Version,2.01
Hardware Version,4
Device Address,3
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,10

Log Configuration
,Log Name,2019-06-23_630427
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:15:15 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:15:23 ,Used Battery: 10% Used Memory: 14%   User Name: Ian
9/27/2019 16:50:46 ,Used Battery: 16% Used Memory: 20%   User Name: Ian
9/27/2019 16:50:47 ,Manual Stop Command


Log Data:
Record Count,9188

Sensors,1

 ,1,630427,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/24/2019 11:00:00 ,                                  10.456,                               36344.055,                               50323.801,                                  32.555,                                   1.025,
6/24/2019 11:15:00 ,                                  10.511,                               36358.156,                               50269.828,                                  32.523,                                   1.025,
6/24/2019 11:30:00 ,                                  10.316,                               36270.133,                               50407.496,                                  32.599,                                   1.025,
6/24/2019 11:45:00 ,                                  10.262,                               36261.969,                               50469.129,                                  32.636,                                   1.025,
6/24/2019 12:00:00 ,                                  10.240,                               36230.586,                               50454.016,                                  32.623,                                   1.025,
6/24/2019 12:15:00 ,                                  10.213,                               36257.441,                               50528.195,                                  32.673,                                   1.025,
6/24/2019 12:30:00 ,                                  10.168,                               36173.051,                               50470.883,                                  32.626,                                   1.025,
6/24/2019 12:45:00 ,                                  10.160,                               36194.426,                               50511.703,                                  32.654,                                   1.025,
6/24/2019 13:00:00 ,                                  10.077,                               36160.973,                               50577.254,                                  32.691,                                   1.025,
6/24/2019 13:15:00 ,                                  10.037,                               36100.461,                               50546.746,                                  32.664,                                   1.025,
6/24/2019 13:30:00 ,                                  10.217,                               36225.148,                               50478.352,                                  32.637,                                   1.025,
6/24/2019 13:45:00 ,                                  10.086,                               36120.836,                               50508.590,                                  32.643,                                   1.025,
6/24/2019 14:00:00 ,                                  10.005,                               36077.816,                               50557.336,                                  32.668,                                   1.025,
6/24/2019 14:15:00 ,                                   9.952,                               36033.621,                               50568.121,                                  32.669,                                   1.025,
6/24/2019 14:30:00 ,                                  10.258,                               36209.652,                               50400.633,                                  32.587,                                   1.025,
6/24/2019 14:45:00 ,                                  10.093,                               36119.020,                               50496.637,                                  32.635,                                   1.025,
6/24/2019 15:00:00 ,                                  10.290,                               36200.879,                               50346.309,                                  32.551,                                   1.025,
6/24/2019 15:15:00 ,                                  10.599,                               36378.762,                               50181.555,                                  32.470,                                   1.025,
6/24/2019 15:30:00 ,                                  10.527,                               36341.449,                               50225.113,                                  32.493,                                   1.025,
6/24/2019 15:45:00 ,                                  10.364,                               36234.398,                               50294.301,                                  32.523,                                   1.025,
6/24/2019 16:00:00 ,                                  10.408,                               36297.039,                               50322.211,                                  32.548,                                   1.025,
6/24/2019 16:15:00 ,                                  10.239,                               36185.961,                               50393.102,                                  32.579,                                   1.025,
6/24/2019 16:30:00 ,                                  10.455,                               36301.180,                               50266.008,                                  32.514,                                   1.025,
6/24/2019 16:45:00 ,                                  10.476,                               36372.660,                               50336.828,                                  32.567,                                   1.025,
6/24/2019 17:00:00 ,                                  10.503,                               36401.070,                               50340.109,                                  32.573,                                   1.025,
6/24/2019 17:15:00 ,                                  10.676,                               36474.094,                               50211.609,                                  32.501,                                   1.025,
6/24/2019 17:30:00 ,                                  10.553,                               36404.879,                               50278.164,                                  32.534,                                   1.025,
6/24/2019 17:45:00 ,                                  10.651,                               36455.992,                               50219.742,                                  32.504,                                   1.025,
6/24/2019 18:00:00 ,                                  10.950,                               36650.496,                               50093.770,                                  32.448,                                   1.025,
6/24/2019 18:15:00 ,                                  10.824,                               36555.281,                               50128.656,                                  32.458,                                   1.025,
6/24/2019 18:30:00 ,                                  10.838,                               36585.324,                               50150.328,                                  32.476,                                   1.025,
6/24/2019 18:45:00 ,                                  11.099,                               36757.250,                               50044.934,                                  32.429,                                   1.025,
6/24/2019 19:00:00 ,                                  11.504,                               36893.949,                               49706.855,                                  32.230,                                   1.025,
6/24/2019 19:15:00 ,                                  11.545,                               36878.531,                               49633.523,                                  32.182,                                   1.024,
6/24/2019 19:30:00 ,                                  11.717,                               36959.031,                               49523.766,                                  32.121,                                   1.024,
6/24/2019 19:45:00 ,                                  11.799,                               36969.754,                               49434.570,                                  32.065,                                   1.024,
6/24/2019 20:00:00 ,                                  12.012,                               37100.035,                               49339.797,                                  32.019,                                   1.024,
6/24/2019 20:15:00 ,                                  12.175,                               37019.832,                               49029.617,                                  31.811,                                   1.024,
6/24/2019 20:30:00 ,                                  12.274,                               37057.203,                               48957.617,                                  31.769,                                   1.024,
6/24/2019 20:45:00 ,                                  12.044,                               37020.328,                               49193.875,                                  31.917,                                   1.024,
6/24/2019 21:00:00 ,                                  12.355,                               37115.066,                               48933.801,                                  31.760,                                   1.024,
6/24/2019 21:15:00 ,                                  12.407,                               37167.590,                               48938.633,                                  31.769,                                   1.024,
6/24/2019 21:30:00 ,                                  12.549,                               37268.535,                               48897.008,                                  31.752,                                   1.024,
6/24/2019 21:45:00 ,                                  12.387,                               37114.695,                               48893.109,                                  31.734,                                   1.024,
6/24/2019 22:00:00 ,                                  12.594,                               37321.305,                               48911.406,                                  31.767,                                   1.024,
6/24/2019 22:15:00 ,                                  11.974,                               37001.500,                               49255.965,                                  31.955,                                   1.024,
6/24/2019 22:30:00 ,                                  12.095,                               37062.043,                               49185.012,                                  31.916,                                   1.024,
6/24/2019 22:45:00 ,                                  12.027,                               37010.754,                               49201.770,                                  31.921,                                   1.024,
6/24/2019 23:00:00 ,                                  11.706,                               36932.117,                               49501.453,                                  32.104,                                   1.024,
6/24/2019 23:15:00 ,                                  10.879,                               36364.383,                               49795.145,                                  32.225,                                   1.025,
6/24/2019 23:30:00 ,                                  11.366,                               36631.656,                               49529.215,                                  32.087,                                   1.024,
6/24/2019 23:45:00 ,                                  10.874,                               36386.203,                               49831.449,                                  32.250,                                   1.025,
6/25/2019 00:00:00 ,                                  10.647,                               36296.719,                               50005.047,                                  32.349,                                   1.025,
6/25/2019 00:15:00 ,                                  10.549,                               36213.645,                               50019.613,                                  32.348,                                   1.025,
6/25/2019 00:30:00 ,                                  10.326,                               36133.520,                               50204.918,                                  32.454,                                   1.025,
6/25/2019 00:45:00 ,                                  10.534,                               36264.102,                               50109.375,                                  32.410,                                   1.025,
6/25/2019 01:00:00 ,                                  10.205,                               36051.660,                               50251.578,                                  32.473,                                   1.025,
6/25/2019 01:15:00 ,                                  10.278,                               36089.035,                               50207.145,                                  32.450,                                   1.025,
6/25/2019 01:30:00 ,                                  10.007,                               35895.004,                               50298.551,                                  32.482,                                   1.025,
6/25/2019 01:45:00 ,                                   9.902,                               35805.520,                               50314.820,                                  32.481,                                   1.025,
6/25/2019 02:00:00 ,                                  10.069,                               35945.422,                               50286.141,                                  32.481,                                   1.025,
6/25/2019 02:15:00 ,                                   9.822,                               35838.926,                               50470.605,                                  32.582,                                   1.025,
6/25/2019 02:30:00 ,                                   9.878,                               35871.258,                               50440.004,                                  32.567,                                   1.025,
